description,prob_type
"REPLACED DIAPHRAGM IN TOILET, TIGHTENED SEAT & ADJUSTED WATER",Plumbing
CHECKED FOR LEAKS IN PIPES & RETURN LINES,Plumbing
"Preform preventive maintenance on all HVAC units at the Quarantine Rd landfill.
Contact Doug Carter 443-835-7368.

Olivia 3/23/16
Assigned to Sergio",HVAC
"Please provide labor & materials to repair the toilet in the women's room it will not flush.
Joseph Hodge is the onsite contact and can be reached at 410-396-4689.",Plumbing
"Change light bulbs on 8th Floor

contact Danielle Burgess 6-3745",Electrical
"perform repair work on penal sink/toilet units in lock up area

Olivia 3/23/16
Assigned to Fresh Air",Plumbing
"LABOR AND MATERIALS TO UNCLOG THE ROOF DRAINS AT ROBERT C. MARSHALL RECREATION CENTER - CONFIRMING SR - MITCHELL PLUMBING HAS ALREADY BEEN CONTACTED

Assigned to Mitchell Plumbing 3-24-16  WE.",HVAC
"Heat in 5th floor main work area too high. Temperature needs to be turned down.

contact Danielle Burgess 6-3745

Olivia 3/23/16
Assigned to J.F Fisher",HVAC
Provide labor & material to replace ballasts in the garage area - some of the lights needs ballasts.,Electrical
ASSISTED ELECTRICIAN,Electrical
CHECKED UNIT IN JUDGE NANCE CHAMBERS,HVAC
REPLACED BALLAST,Electrical
REPLACED TOILET SEAT IN MEN'S ROOM,Plumbing
UNCLOGGED TOILETS,Plumbing
"heat was not being properly dispersed in barbara rogers office.  needs to be checked and also check to see if cooling will be compromised as well.

Olivia 3/22/16
Assigned to Sergio",HVAC
Provide labor and materials to repair or replace all broken pipes under the deck,Plumbing
complete installing duct in the file room.,HVAC
REPAIRED FAUCET,Plumbing
ASSISTED ELECTRICIAN WITH WIRING,Electrical
ASSISTED ELECTRICIAN WITH WIRING,Electrical
SET UP ELECTRICAL CIRCUIT,Electrical
"labor and material to change out heating and cooling valves on air handler
saturday job",HVAC
REPLACED ALL BLOWN LIGHTS IN HALLWAY & CHANDELIERS,Electrical
"REMOVED SUMP PUMP, CLEANED INTAKE & WELL, REINSTALLED",Plumbing
ADJUSTED DISCHARGE AIR TEMPERATURE,HVAC
TURNED ON CHILLED WATER,HVAC
INSTALLED FLAPPER ON TOILET,Plumbing
TIGHTENED TOILET SEAT,Plumbing
REPLACED DIAPHRAGM IN URINAL & ADJUSTED WATER FLOW,Plumbing
"Service and repair gas fired AHU at Hillen Storeroom. You can contact Scott Rampmeyer at 410-908-4804 or Randy Howell-Bey at 410-371-6975.

Olivia 3/21/16
Assigned to Fresh Air",HVAC
"Per Richard Henderson, I was sitting here in the office and I kept hearing a banging at the door and noticed that the A-phone is not working. There is no picture, sound or anything. The lady that was knocking on the door mentioned that the door bell is not working either, but the building was secure upon entry. I know that there was a planned power outage by BGE on Thursday at 11 pm. And not sure if this may have affected the A-phone. Maybe someone should come out and take a look at it.",Electrical
CHECKED UNIT IN JUDGE NANCE CHAMBERS,HVAC
"labor and material to have pipeing and valves reinsulated
as well as pumps in lower level

Olivia3/21/2016
Assigned to J.F Fisher",HVAC
"labor and material to have jason check shaft on exhaust fan south side roof top 
replace if needed

Olivia 3/21/16
Assigned to J.F Fisher",HVAC
"labor and material to replace 2 sets of valves on air handler 
saturday job jason on site

Olivia 3/21/16
Assigned to J.F Fisher",HVAC
"Per Iantha McCallum of DOT410-396-3549, There are a lot of lights out in the parking garage here at 510 Fallsway.  

Please have someone come and replace them all.",Electrical
"there are two bad light switches in the  rms office at northern. one as you enter room, has to be taped up to work. one bad switch nearby in the admin sgt office as well. both need to be replaced.",Electrical
bulbs need replacing throughout the building,Electrical
BULBS NEED TO BE REPLACED IN VARIOUS AREAS OF THE BUILDING,Electrical
"Repair wallpack lights around exterior of building.
Req. 72740
Officer in charge
410-396-1226

Terry Howell",Electrical
"Jackie Turner - PF Rm. #5  443 984-1962

(2) 1 lamp balance for sever unit  (as per Marcus)",Electrical
"Beverly Crosby - 410 361-9833

BRC security cameras need to be reconnected.  When carpet was installed in our Cash Processing area, the wires were disconnected to our cameras.
Must be connected ASAP.",Electrical
"PM ICE MACHINE JASON ON SITE

Olivia 3/21/16
Assigned to J.F Fisher",HVAC
"URGENT:  Repair and perform preventative maintenance on ice machine in storeroom at this location asap.  Contact person is anyone in storeroom (410-396-0908).

Olivia 3/18/16
Assigned to R.F Warder",Plumbing
"INVESTIGATE THE AIR FLOW QUALITY AND CORRECT AS NECESSARY IN THE RECREATION ADMINISTRATION BUILDING AT 3001 EAST DRIVE - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Olivia 3/21/16
Assigned to J.F Fisher",HVAC
Provide labor and materials to install switch in Mothers room,Electrical
"Replace timer for exterior light fixtures
Req. 72739
Officer in charge
410-396-6243

Terry Howell",Electrical
"Need plumbing material for plumbing for  job in room 129, 2 inch drain line is corroded and water is running on the carpet.",Plumbing
REPLACED LIGHTS @ SIGNET BLDG,Electrical
REPLACED LIGHT BULBS @ SIGNET BLDG,Electrical
UNCLOGGED TOILET IN LADIES RESTROOM & TIGHTENED SEAT,Plumbing
Please provide labor and materials to fox electrical outlet located on the second floor behind an unfinished display case. Please ask staff if any questions arise.,Electrical
"Install new LED exterior light fixtures, one above Engine bay door and two on parking lot side of station.
Req. 72738
Officer in charge
410-396-9383

Terry Howell",Electrical
reinstall all plumbing parts and turn water back on,Plumbing
"Please provide labor & materials to unclog the flushing drain in the puppy pad and the drain in the second run from the end in row D of Dog Quarantine.

Claire Jensen is the onsite contact and can be reached at 410-396-4695",Plumbing
"Provide labor and material to perform revisions to the reheat coil and kennel piping.

Olivia 3/22/16
Assigned to J.F Fisher",Plumbing
"Provide labor and materials to install 4 CO Detectors per the Fire Marshall recommendation

Olivia 3/18/16
Assigned to J.F Fisher",HVAC
"LABOR AND MATERIALS TO UNCLOG TWO TOILETS IN THE GIRLS BATHROOM AT LAKELAND RECREATION CENTER - CONFIRMING SR - MITCHELL PLUMBING HAS ALREADY BEEN CONTACTED

Olivia 3/17/16
Assigned to Mitchell Plumbing",HVAC
"Repair air compressor for station air.
Req. 72731
Officer in charge
410-396-9205

Wycliffe Eccles

J.F. Fischer notified.      Spoke to Jason Wagaman.

Cost NTE $ 1,500.00.

Olivia 3/18/16
Assigned to J.F Fisher",HVAC
"LABOR AND MATERIALS TO REPAIR THE HEAT AT CARROLL F. COOK RECREATION CENTER - CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Olivia 3/18/16
Assigned to J.F Fisher",HVAC
"REPLACED LIGHT IN STAIRWAY, CHECKED FOR SHORTS",Electrical
"REPLACED ALL BLOWN LIGHTS IN CLUSTERS, CHANDELIERS & HALLWAY",Electrical
REPAIRED LIGHT IN ATTIC STAIRWAY,Electrical
Please provide labor and materials to repair/replace the electrical outlet in the Maintenance Office it is not working.,Electrical
"unit 19 starter breaker is bad need for immediate repair no air flow in space Attn. Wycliffe and Jason / Fischer Tech.

Olivia 3/16/16
Assigned to J.F Fisher",HVAC
"LABOR AND MATERIALS TO REPLACE THE FAN SHAFT IN THE AIR HANDLER AT CALLOWHILL POOL - THIS IS A CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Olivia 3/17/16
Assigned to J.F Fisher",HVAC
"LABOR AND MATERIALS TO INSTALL A LOCKABLE SERVICE DISCONNECT ON THE BOILER AT CALLOWHILL POOL - THIS IS A CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Olivia 3/17/16
Assigned to J.F Fisher",HVAC
"Repair rooftop exhaust fans.
Req. 72728
Officer in charge
410-396-9205

Wycliffe Eccles

J.F. Fischer notified.      Spoke to Jason Wagaman.

Cost NTE $ 4,500.00

Olivia 3/17/16
Assigned to J.F Fisher",HVAC
"DOT-Safety is requesting someone to come replace the ballast in the Traffic Unit.  Any questions, contact
Ms. Williams 410-545-6854.",Electrical
Needs 3 faucets replaced on sinks in the mens locker room.,Plumbing
Lights out third floor hallways need to pickup  (24) plt26  bulbs from warehouse.,Electrical
REPLACED BALLAST & CHANGED LIGHTS,Electrical
REPLACED LIGHTS IN OFFICE,Electrical
CHANGED TRAP IN SINK IN MEN'S RESTROOM,Plumbing
RESET BREAKER IN SCHOOL HEALTH,Electrical
CHECKED UNIT FOR ADMINISTRATION,HVAC
"CHANGED ALL BLOWN OUT LIGHTS IN HALLWAY, CLUSTERS & CHANDELIERS",Electrical
"COMPLAINT COURTROOM HOT, VERIFIED, CALL WAS NOT WARRANTED",HVAC
"DISASSEMBLED LIGHT, CHECKED DRIVER, NEEDED REPLACING",Electrical
"REMOVED VALVE FROM SINK, CLEANED OUT SCALE, REINSTALLED",Plumbing
"Repair pole lights in rear parking lot.
Req. 72718
Officer in charge
410-396-1226

Terry Howell",Electrical
"The large conference room on the 3rd floor has some lights out. Can you please come and replace the bulbs.
Thanks",Electrical
Please send plumber to repair broken pvc pipe outside at Marine Unit,Plumbing
THE OVERHEAD LIGHT IN OFFICE 508 IS NOT WORKING. WILL NOT TURN ON OR OFF.  VERONICA MCBETH IS THE POINT OF CONTACT,Electrical
"Repair emergency generator, over crank indicator light is lit.
Req. 72717
Officer in charge
410-396-6243

Jim Fisher",Electrical
"Install domestic hot water return line and recirculating pump.
Req. 72719
Officer in charge
410-396-1258

Wycliffe Eccles

R.F. Warder notified.

Cost NTE $ 4,000.00.

Olivia 3/16/16
Assigned to R.F Warder",Plumbing
"The temperature in the building is 80 deg. and needs to be lowered. 
Contact: Officer Baze 410-396-2411

Olivia 3/16/16
Assigned to J.F Fisher",HVAC
"REPLACE DEFECTIVE THERMOSTAT FOR BOILER LOCATED IN MAGAZINE ROOM BY ELEVATOR

Assigned to Denver Eek  3-15-16  WE.",HVAC
"Air Conditioner in Lab Trailer not working.  Contact Lisa Jones 410-396-6040

Assigned to Denver Elek  3-15-16  WE.",HVAC
"Please provide labor & materials to restore heat to the building the unit is blowing cold air.

Rosalee is the onsite contact and can be reached at 410-396-9202

Olivia 3/16/16
Assigned to R.F Warder",HVAC
"Please have fan coils units inspected and in good operating order in the Energy space. All unit should be re assembles when completed. Work already referred to JF Fisher. Jason.

Olivia 3/16/16
Assigned to J.F Fisher",HVAC
"Please inspect all HVAC and heat related infrastructure and restore them to good operation. Please complete PM as well. 
Also please assure that the two walk in units are in operation and PM.

Olivia 3/16/16
Assigned to J.F Fisher",HVAC
Install dedicated circuit for copy machine,Electrical
Please provide labor & materials to unclog the sink in the women's bathroom near the maxie collier conference room at Health Headquarters.,Plumbing
"UNCLOGGED GARBAGE DISPOSAL, RESET BREAKER",Plumbing
REPLACED DIAPHRAGM IN TOILET & TIGHTENED SEAT,Plumbing
"REMOVED VALVE FROM SINK, CLEANED OUT SCALE, REINSTALLED",Plumbing
sump pump in the basement is not working.  needs to get it started and also pump excess water from the basement.,Plumbing
"RESET THERMOSTAT, CLEANED AROUND THE EXTERIOR OF THE BLDG",HVAC
UNCLOGGED SINK IN LADIES RESTROOM & MOPPED UP WATER,Plumbing
CHANGED LIGHTS IN OFFICE,Electrical
REPLACED BLOWN LIGHTS IN HALLWAY & STAIRWAY,Electrical
Administration Bldg. - Men's room sink is clogged,Plumbing
"Replace burnt out light bulbs in the ECU room.
Contact: Bernard Scales",Electrical
"Replace burnt out lights in the mens locker room shower. All light bulbs are out. 
Contact: Bernard Scales",Electrical
"A urinal that was previously repaired by R.F. Warder under a DGS request on August 28th (see attached picture) is currently leaking. The repair was done with a split pipe, which is leaking at one of the attached joints. 
The attached photo lists the building as code (B02034, C.C. Jackson Recreation Center). This is the same building located at 4910 Park Heights, but it is split into two parts, C.C. Jackson Recreation Center and Baltimore Training Center.
The site contact for the repair is Windell Wise, who can be reached at 717-669-1162. Thank you!

Assigned to R.F.Warder  3-15-16  WE.",Plumbing
"Please provide labor and materials to unclog the following drains  1) The drain in the second run from the end in row D of Dog Quarantine and 2) the flushing drain in Puppy Pad which will require a snake to unclog.

Olivia 3/16/16
Assigned to Mitchell Plumbing",Plumbing
"theres a leak in the 10 floor ladies bathroom leaking from the ceiling.  Leak was active during a dry weather so it seems to be a plumbing leak.

contact marcus williams.
Assigned to J.F.Fischer  3-14-16  WE.",Plumbing
"Please provide labor and materials to adjust the temperature in the building it has been cold all day,

Olivia 3/16/16
Assigned to J.F Fisher",HVAC
"LABOR AND MATERIALS TO REPAIR THE BOILER AT THE CONSERVATORY - THIS IS A CONFIRMING SR - JASON HAS ALREADY BEEN CONTACTED

Assigned to J.F.Fischer  3-15-16  WE.",HVAC
Provide labor and materials to correct electrical problem in the utility room. Lights won't come on. Breaker is tripped and trips off when reset.  Likely a short somewhere. May be the wall switch as it does not feel or sound normal.  Call Ralph Vincent at 410-733-3396 to arrange site access.,Electrical
"3rd floor provide labor and materials to install  (2) duplex receptacles for wall mounted TV's.

Samara Singletary 443-741-3253",Electrical
"Urgent - Request electrician to investigate a burning smell in the locker/lunch room at Quarantine Rd. Landfill.  The issue may be
the fluorescent light fixtures.  Contact person:  Doug Carter on 443-835-7368.",Electrical
"Please provide labor and materials to repair/replace the blown bulbs in the hallway leadins to the North and South Wings of the building.
Per Tammy Vines  there was a typo this should of been the stairway. Tammy didn't make this typo",Electrical
needs 2 cases of bulbs for the southern district lighting,Electrical
"PROVIDE LABOR AND MATERIAL TO PERFORM THE FOLLOWING REPAIRS TO THE AIR DISTRIBUTION SYSTEM OF RTU-1 AND RTU-2:
1.  Remove the air-duct section from RTU-2 which serves the Conference Room and Commissioner's Office.  These rooms are located by the front of the building.   
2.  Reconnect the diffusers from RTU-2 to RTU-1. for the Conference Room and the Commissioner's Room.
3.  Set the air flows for the following rooms:
   a)  Conference Room = 390 cfm as minimum air flow.  Max is 720 cfm.
   b)  Commissioner's Office = 390 cfm
   c)   Secretary's Office = 140 cfm
   d)   Chief's Office = 160 cfm
4.   Install thermal diffusers in Conference Room in place of three existing diffusers.  Set cooling and heating at 72 deg F.
5.   Re-activate static pressure sensor and Bypass Damper to operate when the thermal diffusers in the Conference Rooms operates in minimum air-flow setting.
6.  Provide flow measuring hood and perform air balancing to RTU-1 & RTU-2.  Obtain air flow rates and specifications from Ferdinand/HVAC Section.

Assigned to J F Fischer, Inc.  P526022.  NTE: $6,500",HVAC
"REPLACED LIGHTS, CHECKED FOR SHORTS, RESET BREAKER",Electrical
"REPLACED DIAPHRAGM IN TOILET & TIGHTENED SEAT, ADJUSTED WATER",Plumbing
REPLACED LIGHTS IN OFFICE,Electrical
CHANGED LIGHT & BALLAST IN SHERIFF'S OFFICE,Electrical
CHANGED VARIOUS BLOWN LIGHTS IN HALLWAY,Electrical
CHANGED BALLAST ON 6TH FLOOR,Electrical
UNCLOGGED TOILET IN MEN'S ROOM,Plumbing
